"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"1",105,"C_to_EtOH.Background_Subs","Price",NA,NA,0,5,0.150000005960464,6.7560484,7.0183444,10.7933955434263,2.15867910868527,3.12971407969697,"EE2051RRMax"
"2",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,5.6083708,6.1790308,9.78509735160892,1.95701947032178,2.8657715904471,"EE2051RRMax"
"3",84,"C_to_EtOH.Policy_Start","Price","TC",NA,2011,2015,NA,0.994574,1.232534,2.41406396625069,0.482812793250138,2.05995784267615,"EE2051RRMax"
"4",112,"C_to_EtOH.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,3.8330906,7.4308306,11.347910029839,2.26958200596781,1.6888971581203,"EE2051RRMax"
"5",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,1.883911,1.923613,5.92632102245145,1.18526420449029,1.58944393398783,"EE2051RRMax"
"6",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,1.639994,2.244734,5.29013672949323,1.05802734589865,1.5500487831031,"EE2051RRMax"
"7",127,"C_to_RR.Startup_Subs","FCI_C",NA,NA,0,1,0,6.1602446,7.3660086,23.8125372124604,4.76250744249209,1.29348765842065,"EE2051RRMax"
"8",90,"C_to_RR.Policy_Start","FCI_C","FT",NA,2011,2015,NA,0.26942,0.28018,1.06210024519032,0.212420049038063,1.26833602204716,"EE2051RRMax"
"9",89,"C_to_RR.Policy_Dur","FCI_C","FT",NA,0,20,NA,0.959184,0.959184,4.71888242027707,0.943776484055414,1.0163253865771,"EE2051RRMax"
"10",140,"C_to_RR.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,-0.0593258,0.0593262000000001,0.295246510626009,0.0590493021252018,1.0046824918305,"EE2051RRMax"
"11",120,"C_to_RR.Background_Subs","FCI_C",NA,NA,0,1,0,0.0831399999999999,0.0831399999999999,0.415699999999999,0.0831399999999999,1,"EE2051RRMax"
"12",134,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0.00000799999999987477,0.00000799999999987477,0.0000399999999993739,0.00000799999999987477,1,"EE2051RRMax"
