"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"34",27,"C_to_EtOH.Policy_Dur","FeedstockC","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"35",31,"C_to_EtOH.Policy_Dur","FeedstockP","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"36",41,"C_to_EtOH.Policy_Dur","FeedstockP","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"37",45,"C_to_EtOH.Policy_Dur","Loan_C","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"38",55,"C_to_EtOH.Policy_Dur","Loan_C","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"39",59,"C_to_EtOH.Policy_Dur","Loan_P","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"40",70,"C_to_EtOH.Policy_Dur","Loan_P","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"41",85,"C_to_EtOH.Policy_Dur","FCI_C","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"42",87,"C_to_EtOH.Policy_Dur","FCI_C","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"43",4,"C_to_EtOH.Policy_Start","FCI_P","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"44",14,"C_to_EtOH.Policy_Start","FCI_P","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"45",18,"C_to_EtOH.Policy_Start","FeedstockC","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"46",28,"C_to_EtOH.Policy_Start","FeedstockC","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"47",32,"C_to_EtOH.Policy_Start","FeedstockP","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"48",42,"C_to_EtOH.Policy_Start","FeedstockP","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"49",46,"C_to_EtOH.Policy_Start","Loan_C","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"50",56,"C_to_EtOH.Policy_Start","Loan_C","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"51",60,"C_to_EtOH.Policy_Start","Loan_P","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"52",69,"C_to_EtOH.Policy_Start","Loan_P","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"53",86,"C_to_EtOH.Policy_Start","FCI_C","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"54",88,"C_to_EtOH.Policy_Start","FCI_C","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"55",106,"C_to_EtOH.Startup_Subs","FCI_C",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"56",107,"C_to_EtOH.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0,0,0,0,NA,"EE2035RRMax"
"57",108,"C_to_EtOH.Startup_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"58",109,"C_to_EtOH.Startup_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"59",110,"C_to_EtOH.Startup_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"60",111,"C_to_EtOH.Startup_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"61",113,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"62",114,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"63",115,"C_to_EtOH.Startup_Subs_Vol_Thresh","FeedstockC",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"64",116,"C_to_EtOH.Startup_Subs_Vol_Thresh","FeedstockP",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"65",117,"C_to_EtOH.Startup_Subs_Vol_Thresh","Loan_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"66",118,"C_to_EtOH.Startup_Subs_Vol_Thresh","Loan_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"67",121,"C_to_RR.Background_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0,0,0,0,NA,"EE2035RRMax"
"68",122,"C_to_RR.Background_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"69",123,"C_to_RR.Background_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"70",124,"C_to_RR.Background_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"71",125,"C_to_RR.Background_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"72",1,"C_to_RR.Policy_Dur","FCI_P","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"73",5,"C_to_RR.Policy_Dur","FCI_P","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
